player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,year,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,"('Alex Len', 'weight')","('Markelle Fultz', 'weight')"
Anthony Davis,2011-12,Kentucky,SEC,40,40,1281,35.1,0.654,0.628,0.059,0.602,550.0,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,5.9,4.1,9.9,0.31,9.1,8.1,17.2,1,2012-13,PF,7.90,229,216,2064,2096,2743,221.8,2273,0,0
Michael Kidd-Gilchrist,2011-12,Kentucky,SEC,40,39,1245,21.2,0.57,0.511,0.156,0.589,497.0,10.3,17.3,14.0,10.8,1.9,2.8,17.3,20.6,3.4,2.6,6.0,0.192,4.1,3.6,7.7,1,2012-13,SF,7.00,229,260,1975,2019,2654,232.8,2134,0,0
Bradley Beal,2011-12,Florida,SEC,37,37,1267,22.0,0.575,0.525,0.473,0.44,522.0,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,3.6,2.1,5.7,0.18,5.4,2.9,8.4,1,2012-13,SG,6.00,216,229,1911,1949,2540,201.8,2032,0,0
Dion Waiters,2011-12,Syracuse,Big East,37,0,891,26.3,0.565,0.534,0.317,0.331,430.0,2.4,8.8,5.6,21.2,4.6,1.5,10.4,26.7,3.2,1.7,5.0,0.223,6.0,4.8,10.8,2,2012-13,SG,8.50,216,241,1892,1930,2489,221.0,2013,0,0
Thomas Robinson,2011-12,Kansas,Big 12,39,39,1242,27.4,0.549,0.512,0.027,0.462,660.0,11.1,33.0,22.2,13.1,2.0,2.9,14.2,30.0,3.7,3.5,7.2,0.231,5.4,3.4,8.8,3,2012-13,PF,5.00,248,267,2026,2051,2692,244.2,2216,0,0
Damian Lillard,2011-12,Weber State,Big Sky,32,32,1105,34.0,0.635,0.562,0.465,0.519,746.0,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,6.7,1.4,8.0,0.291,9.1,0.7,9.8,4,2012-13,PG,5.90,222,248,1873,1899,2426,188.8,2026,0,0
Harrison Barnes,2011-12,UNC,ACC,38,37,1111,21.2,0.528,0.487,0.263,0.374,571.0,6.9,11.9,9.4,7.2,2.0,1.1,10.8,28.1,3.1,1.9,5.0,0.181,4.5,2.3,6.8,2,2012-13,SF,9.60,229,216,2007,2032,2578,227.8,2115,0,0
Terrence Ross,2011-12,Washington,Pac-12,35,35,1088,22.3,0.558,0.534,0.413,0.2,504.0,4.7,19.2,11.6,9.2,2.3,3.0,12.0,25.3,3.0,1.8,4.9,0.178,5.1,2.8,7.9,2,2012-13,SG,3.20,222,260,1981,2007,2553,196.6,2013,0,0
Andre Drummond,2011-12,UConn,Big East,34,30,967,21.9,0.509,0.538,0.007,0.301,328.0,14.2,17.0,15.6,3.4,1.8,9.9,13.5,20.9,1.4,1.5,2.9,0.121,2.0,2.9,4.9,1,2012-13,C,7.50,241,241,2076,2127,2781,278.6,2292,0,0
Austin Rivers,2011-12,Duke,ACC,34,33,1129,16.9,0.538,0.505,0.396,0.458,488.0,2.2,10.0,6.0,13.0,1.7,0.1,13.9,25.2,2.4,1.0,3.5,0.124,3.2,0.8,4.0,1,2012-13,SG,6.20,216,254,1918,1956,2451,202.8,2013,0,0
Meyers Leonard,2011-12,Illinois,Big Ten,32,29,1018,24.1,0.618,0.586,0.038,0.436,409.0,9.1,25.9,17.1,9.9,0.9,6.9,16.2,22.0,2.9,1.8,4.6,0.182,3.6,3.6,7.2,2,2012-13,C,5.70,235,279,2127,2165,2743,249.8,2210,0,0
Jeremy Lamb,2011-12,UConn,Big East,34,34,1266,22.1,0.589,0.556,0.465,0.267,524.0,3.0,12.2,7.7,10.1,2.1,1.7,11.7,23.9,3.9,1.3,5.2,0.165,5.7,2.0,7.8,2,2012-13,SG,4.50,222,235,1930,1962,2591,179.2,2108,0,0
Kendall Marshall,2011-12,UNC,ACC,36,35,1189,17.2,0.558,0.529,0.351,0.351,420.0,0.5,7.9,4.2,45.1,2.0,0.5,27.8,13.9,2.6,1.8,4.4,0.147,3.8,2.8,6.6,2,2012-13,PG,7.80,216,229,1911,1937,2438,198.4,1968,0,0
John Henson,2011-12,UNC,ACC,35,34,1019,24.7,0.505,0.5,0.0,0.329,439.0,9.0,27.1,17.9,8.0,1.1,9.6,8.7,23.1,2.3,2.7,5.0,0.195,4.0,5.0,9.0,3,2012-13,PF,8.60,235,254,2057,2096,2845,216.0,2261,0,0
Maurice Harkless,2011-12,St. John's (NY),Big East,32,32,1155,21.1,0.504,0.472,0.185,0.326,476.0,8.4,20.3,14.0,9.6,2.6,4.2,14.0,24.9,1.8,1.3,3.2,0.109,3.0,1.0,4.0,1,2012-13,SF,5.30,235,260,2013,2051,2604,206.6,2134,0,0
Royce White,2011-12,Iowa State,Big 12,34,33,1072,22.8,0.536,0.54,0.037,0.625,528.0,9.4,26.2,17.7,34.5,2.2,3.0,23.4,26.5,2.1,2.0,4.1,0.152,4.3,3.8,8.2,1,2012-13,PF,10.60,241,292,2007,2032,2654,260.6,2134,0,0
Tyler Zeller,2011-12,UNC,ACC,38,38,1070,29.9,0.616,0.553,0.0,0.563,580.0,14.1,21.9,17.9,6.3,1.7,5.3,12.6,24.5,4.6,2.5,7.1,0.265,6.8,3.9,10.7,4,2012-13,PF,6.40,229,248,2115,2146,2654,247.4,2134,0,0
Terrence Jones,2011-12,Kentucky,SEC,38,34,1115,24.3,0.547,0.523,0.138,0.446,465.0,10.7,17.5,14.3,8.7,2.7,5.8,12.6,22.4,3.1,2.7,5.8,0.209,5.2,4.9,10.2,2,2012-13,PF,7.70,229,254,2038,2070,2718,252.0,2191,0,0
Andrew Nicholson,2011-12,St. Bonaventure,A-10,32,32,962,31.6,0.638,0.601,0.138,0.429,515.0,11.1,25.1,18.1,9.4,1.3,7.3,14.7,29.5,4.0,1.7,5.8,0.24,7.2,2.1,9.4,4,2012-13,PF,7.60,254,273,2045,2070,2718,234.0,2235,0,0
Jared Sullinger,2011-12,Ohio State,Big Ten,37,36,1123,30.2,0.591,0.538,0.091,0.519,610.0,12.4,25.8,18.9,8.6,2.3,4.0,11.5,27.9,4.8,3.0,7.9,0.28,7.5,4.1,11.7,2,2012-13,PF,10.70,235,248,2026,2057,2680,268.2,2165,0,0
Fab Melo,2011-12,Syracuse,Big East,30,30,763,20.7,0.581,0.566,0.0,0.347,237.0,12.3,14.6,13.5,5.0,1.2,13.0,17.6,16.5,1.5,1.5,3.0,0.156,1.0,4.3,5.3,2,2012-13,C,9.20,229,254,2102,2134,2794,255.0,2197,0,0
John Jenkins,2011-12,Vanderbilt,SEC,35,35,1177,26.0,0.656,0.62,0.666,0.334,579.0,1.7,9.1,5.4,8.4,1.5,1.0,9.4,26.2,5.4,1.1,6.5,0.223,10.3,1.5,11.8,3,2012-13,SG,7.10,229,229,1911,1937,2489,212.0,2045,0,0
Jared Cunningham,2011-12,Oregon State,Pac-12,36,35,1245,22.1,0.568,0.507,0.336,0.614,609.0,3.4,10.4,6.8,15.7,4.1,1.2,15.2,26.0,3.4,1.6,5.0,0.162,3.4,1.6,5.0,3,2012-13,SG,3.60,210,229,1918,1956,2489,187.6,1994,0,0
Tony Wroten,2011-12,Washington,Pac-12,35,27,1062,20.4,0.488,0.453,0.125,0.591,579.0,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,1.6,1.6,3.2,0.12,2.5,2.2,4.7,1,2012-13,PG,5.20,203,229,1949,1981,2565,203.2,2057,0,0
Miles Plumlee,2011-12,Duke,ACC,34,16,697,21.8,0.621,0.61,0.0,0.521,247.0,16.6,24.6,20.6,5.1,1.5,4.2,18.7,16.1,1.9,1.2,3.1,0.177,4.1,2.1,6.2,4,2012-13,PF,11.40,235,229,2096,2127,2680,252.4,2153,0,0
Arnett Moultrie,2011-12,Mississippi State,SEC,30,30,1073,25.2,0.61,0.561,0.055,0.485,479.0,12.2,23.5,17.7,7.0,1.4,2.1,15.3,23.3,3.6,1.4,5.0,0.186,4.8,0.4,5.2,1,2012-13,PF,7.70,235,235,2070,2102,2705,232.8,2191,0,0
Perry Jones,2011-12,Baylor,Big 12,33,33,1013,21.2,0.539,0.514,0.091,0.28,421.0,11.0,19.8,15.4,8.7,1.6,2.1,12.0,23.3,2.7,1.6,4.2,0.167,3.7,1.5,5.2,2,2012-13,PF,4.60,235,241,2089,2115,2718,233.8,2178,0,0
Marquis Teague,2011-12,Kentucky,SEC,40,40,1303,13.2,0.491,0.449,0.227,0.338,457.0,1.6,7.1,4.5,25.6,1.7,0.8,21.1,20.2,1.7,1.8,3.5,0.108,0.8,1.4,2.3,1,2012-13,PG,6.30,210,197,1854,1880,2451,179.8,2013,0,0
Festus Ezeli,2011-12,Vanderbilt,SEC,26,22,603,21.0,0.567,0.539,0.0,0.842,254.0,13.0,19.2,16.1,2.9,1.1,9.0,20.1,25.2,1.1,1.0,2.1,0.14,0.4,3.3,3.7,4,2012-13,C,5.50,229,273,2076,2121,2743,264.2,2280,0,0
Jeff Taylor,2011-12,Vanderbilt,SEC,36,36,1157,23.7,0.58,0.57,0.366,0.369,546.0,8.4,13.3,10.9,12.6,2.4,1.4,13.6,26.4,3.6,1.6,5.2,0.18,6.2,1.8,8.0,4,2012-13,SF,4.20,210,248,1981,2013,2578,212.8,1988,0,0
Bernard James,2011-12,Florida State,ACC,35,35,979,23.3,0.602,0.606,0.0,0.448,359.0,13.6,21.4,17.6,3.6,1.6,9.5,18.9,20.0,2.0,2.3,4.3,0.176,3.6,4.0,7.6,2,2012-13,PF,5.00,229,235,2051,2083,2756,229.8,2210,0,0
Jae Crowder,2011-12,Marquette,Big East,35,35,1153,28.8,0.598,0.568,0.406,0.372,551.0,7.0,22.6,14.7,13.5,4.3,3.1,7.9,23.4,4.5,3.1,7.6,0.263,8.4,5.4,13.8,2,2012-13,SF,9.00,241,267,1949,1994,2527,241.2,2064,0,0
Draymond Green,2011-12,Michigan State,Big Ten,37,36,1229,26.1,0.542,0.504,0.284,0.367,610.0,8.2,30.7,19.8,24.2,2.7,3.3,16.8,28.2,3.5,3.6,7.1,0.23,6.5,5.6,12.1,4,2012-13,PF,11.30,229,241,1975,2019,2667,235.6,2165,0,0
Orlando Johnson,2011-12,UCSB,Big West,31,31,1067,26.0,0.56,0.527,0.357,0.397,569.0,5.8,13.8,9.9,19.0,2.0,2.4,12.2,30.5,4.0,1.2,5.2,0.194,6.5,-0.2,6.3,3,2012-13,SG,7.00,229,241,1924,1962,2515,223.8,2115,0,0
Quincy Acy,2011-12,Baylor,Big 12,38,38,1130,23.5,0.638,0.582,0.018,0.635,436.0,10.9,20.0,15.5,6.5,1.8,6.6,16.6,19.0,3.5,2.0,5.6,0.198,3.4,3.4,6.9,4,2012-13,PF,7.10,241,279,1994,2026,2705,223.8,2203,0,0
Quincy Miller,2011-12,Baylor,Big 12,37,35,903,19.4,0.541,0.485,0.223,0.369,377.0,7.5,17.5,12.5,11.6,1.7,2.9,15.4,23.9,2.1,1.3,3.5,0.153,3.4,1.9,5.3,1,2012-13,SF,7.80,235,260,2051,2083,2667,218.7,2165,0,0
Khris Middleton,2011-12,Texas A&M,Big 12,20,17,575,18.9,0.486,0.455,0.313,0.211,251.0,5.4,17.1,11.0,20.0,2.1,1.0,13.7,29.7,0.7,0.9,1.6,0.114,4.3,1.9,6.2,3,2012-13,SF,7.80,229,229,2000,2038,2616,216.2,2102,0,0
Will Barton,2011-12,Memphis,CUSA,35,34,1236,26.6,0.587,0.55,0.237,0.396,617.0,7.6,20.2,14.2,17.4,2.4,2.1,12.3,25.8,4.6,2.6,7.2,0.232,6.9,2.8,9.8,2,2012-13,SG,4.10,229,241,1956,1981,2604,174.4,2076,0,0
Tyshawn Taylor,2011-12,Kansas,Big 12,39,38,1303,19.8,0.569,0.538,0.321,0.42,635.0,0.7,7.5,4.2,29.7,2.4,0.5,19.5,27.5,3.1,2.1,5.2,0.159,5.0,2.2,7.2,4,2012-13,PG,4.20,222,222,1899,1930,2477,177.0,1988,0,0
Doron Lamb,2011-12,Kentucky,SEC,40,35,1249,19.2,0.624,0.577,0.442,0.404,482.0,1.5,8.2,5.1,8.8,0.9,0.2,9.1,19.7,4.6,1.6,6.2,0.197,5.3,1.9,7.3,2,2012-13,SG,6.70,216,222,1911,1949,2502,199.4,2000,0,0
Mike Scott,2011-12,Virginia,ACC,32,32,999,30.7,0.62,0.571,0.052,0.45,522.0,9.7,26.2,18.0,10.7,1.4,1.8,12.6,30.9,4.2,2.6,6.8,0.27,7.7,2.6,10.4,5,2012-13,PF,10.60,216,229,2013,2051,2642,240.8,2102,0,0
Kim English,2011-12,Missouri,Big 12,35,35,1175,20.6,0.658,0.64,0.518,0.366,446.0,3.4,13.0,8.3,8.6,2.3,0.9,13.3,20.0,3.7,1.3,5.0,0.171,5.8,1.3,7.1,4,2012-13,SG,4.30,216,222,1943,1975,2489,192.0,1994,0,0
Justin Hamilton,2011-12,LSU,SEC,33,32,990,22.7,0.553,0.498,0.038,0.428,408.0,11.8,17.2,14.2,7.0,1.5,4.7,12.9,22.6,2.6,1.7,4.3,0.172,3.8,2.1,5.9,1,,C,,0,0,0,0,0,nan,0,0,0
Darius Miller,2011-12,Kentucky,SEC,40,11,1043,18.1,0.593,0.566,0.493,0.228,384.0,4.3,7.9,6.2,14.4,1.9,1.2,14.8,19.2,2.9,1.6,4.5,0.173,4.5,3.1,7.5,4,2012-13,SF,7.50,216,222,1981,2019,2565,233.4,2057,0,0
Kevin Murphy,2011-12,Tennessee Tech,OVC,33,32,1139,20.8,0.549,0.518,0.353,0.32,608.0,3.3,16.7,9.8,16.3,1.4,0.7,14.8,32.3,2.7,0.9,3.7,0.128,2.8,-2.2,0.6,4,2012-13,SG,5.80,216,216,1956,1988,2515,194.0,2000,0,0
Kyle O'Quinn,2011-12,Norfolk State,MEAC,36,36,1125,28.6,0.616,0.581,0.089,0.626,548.0,12.0,27.9,19.8,10.9,1.3,9.2,17.0,24.9,3.7,2.5,6.2,0.219,3.2,1.8,5.0,4,2012-13,PF,8.00,241,254,2045,2083,2705,240.8,2254,0,0
Kris Joseph,2011-12,Syracuse,Big East,37,37,1192,19.7,0.534,0.486,0.379,0.403,462.0,5.5,11.6,8.6,8.7,2.6,2.2,10.6,22.5,3.0,2.0,5.0,0.168,4.4,2.2,6.6,4,2012-13,SG,8.60,229,229,1981,2007,2642,215.0,2108,0,0
Darius Johnson-Odom,2011-12,Marquette,Big East,34,33,1120,20.1,0.568,0.529,0.426,0.351,551.0,2.3,10.1,6.1,17.7,1.6,0.4,12.7,27.2,3.1,1.5,4.7,0.167,5.3,1.5,6.8,3,2012-13,SG,7.00,222,222,1867,1905,2438,212.0,2007,0,0
Robbie Hummel,2011-12,Purdue,Big Ten,35,35,1128,25.7,0.54,0.495,0.404,0.295,533.0,5.5,24.3,14.0,12.6,1.3,4.2,5.7,26.3,4.2,1.4,5.6,0.197,7.8,1.6,9.4,4,2012-13,SF,9.40,216,241,2013,2045,2591,218.0,2045,0,0
Marcus Denmon,2011-12,Missouri,Big 12,35,35,1212,25.6,0.621,0.574,0.559,0.308,561.0,3.9,15.1,9.6,11.5,2.7,0.1,7.6,23.6,5.2,1.5,6.7,0.221,8.7,1.3,10.0,4,2012-13,SG,6.60,210,248,1886,1911,2400,188.2,1956,0,0
Robert Sacre,2011-12,Gonzaga,WCC,33,33,868,22.3,0.595,0.511,0.009,0.86,370.0,9.9,20.2,15.1,5.7,0.8,5.8,15.7,22.9,2.6,1.6,4.2,0.194,2.4,2.2,4.6,5,,C,,0,0,0,0,0,nan,0,0,0
Anthony Bennett,2012-13,UNLV,MWC,35,31,950,28.3,0.609,0.58,0.253,0.467,488.0,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,3.5,2.2,5.7,0.238,6.1,2.5,8.6,1,,PF,,0,0,0,0,0,nan,0,0,0
Victor Oladipo,2012-13,Indiana,Big Ten,36,36,1021,28.9,0.671,0.648,0.224,0.428,478.0,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,4.2,2.6,6.7,0.264,8.9,6.2,15.1,3,2013-14,SG,6.55,222,235,1911,1937,2553,213.2,2064,0,0
Otto Porter,2012-13,Georgetown,Big East,31,30,1097,27.3,0.59,0.541,0.291,0.449,477.0,6.7,20.9,13.9,18.5,3.3,3.0,10.0,24.1,4.2,3.0,7.1,0.26,8.2,5.4,13.7,2,2013-14,SF,6.65,222,235,2019,2045,2680,197.6,2172,0,0
Cody Zeller,2012-13,Indiana,Big Ten,36,36,1062,29.8,0.624,0.564,0.006,0.734,567.0,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,4.8,2.5,7.3,0.274,7.2,3.8,11.1,2,2013-14,C,4.75,216,267,2102,2140,2692,230.0,2102,0,0
Alex Len,2012-13,Maryland,ACC,38,37,1004,24.5,0.57,0.535,0.025,0.472,434.0,13.2,21.0,17.2,7.8,0.5,8.0,13.1,22.8,3.0,2.0,5.0,0.2,3.6,3.2,6.8,2,2013-14,C,6.40,229,273,0,0,0,0,2222,0,0
Nerlens Noel,2012-13,Kentucky,SEC,24,24,765,27.3,0.583,0.59,0.0,0.627,257.0,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,1.6,2.3,3.9,0.206,4.3,7.8,12.1,1,2013-14,C,4.15,241,254,2083,2127,2794,206.4,2229,0,0
Ben McLemore,2012-13,Kansas,Big 12,37,36,1191,23.2,0.633,0.586,0.435,0.345,530.0,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.217,7.2,3.4,10.5,1,2013-14,SG,5.00,222,241,1918,1949,2553,189.2,2026,0,0
Kentavious Caldwell-Pope,2012-13,Georgia,SEC,32,30,1086,27.7,0.579,0.53,0.523,0.393,521.0,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,3.9,2.4,6.2,0.23,8.4,4.1,12.5,2,2013-14,SG,6.45,216,229,1943,1968,2553,203.6,2032,0,0
Trey Burke,2012-13,Michigan,Big Ten,39,39,1378,28.7,0.569,0.53,0.354,0.296,776.0,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,6.7,1.8,8.6,0.249,9.4,3.7,13.1,2,2013-14,PG,6.90,210,222,1822,1861,2477,187.0,1968,0,0
C.J. McCollum,2012-13,Lehigh,Patriot,12,11,372,34.7,0.628,0.58,0.33,0.376,250.0,4.0,15.8,10.0,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,9.0,0.3,9.3,4,,SG,,0,0,0,0,0,nan,0,0,0
Michael Carter-Williams,2012-13,Syracuse,Big East,40,40,1409,20.9,0.491,0.438,0.302,0.472,580.0,4.0,12.7,8.2,40.1,4.7,1.8,22.2,22.2,2.7,3.5,6.1,0.174,4.0,5.5,9.4,2,2013-14,PG,4.40,191,216,1949,1975,2565,184.4,2013,0,0
Steven Adams,2012-13,Pitt,Big East,32,32,749,23.2,0.555,0.571,0.0,0.4,228.0,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,4.0,4.2,8.1,1,2013-14,C,6.65,241,279,2102,2134,2781,254.5,2248,0,0
Kelly Olynyk,2012-13,Gonzaga,WCC,32,27,845,36.2,0.675,0.642,0.088,0.497,516.0,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,4.7,1.9,6.7,0.315,10.4,3.6,13.9,3,2013-14,PF,6.65,216,254,2102,2134,2743,234.0,2076,0,0
Shabazz Muhammad,2012-13,UCLA,Pac-12,32,30,987,21.9,0.528,0.487,0.232,0.395,520.0,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,2.9,0.8,3.7,0.149,5.8,-1.1,4.7,1,2013-14,SF,9.00,229,254,1949,1988,2654,221.8,2108,0,0
Shane Larkin,2012-13,Miami (FL),ACC,36,35,1311,22.6,0.6,0.569,0.445,0.293,537.0,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,4.3,2.3,6.5,0.199,5.2,3.8,9.1,2,2013-14,PG,3.80,191,222,1784,1816,2273,170.8,1797,0,0
Tony Snell,2012-13,New Mexico,MWC,35,35,1093,17.0,0.562,0.516,0.481,0.299,408.0,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,2.1,1.5,3.6,0.133,4.1,2.1,6.2,3,2013-14,SF,4.85,229,241,1981,2013,2680,198.2,2121,0,0
Gorgui Dieng,2012-13,Louisville,Big East,33,32,1026,23.8,0.562,0.534,0.0,0.479,352.0,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,2.5,3.2,5.6,0.219,5.1,6.4,11.5,3,2013-14,C,5.35,229,254,2076,2102,2832,229.6,2222,0,0
Mason Plumlee,2012-13,Duke,ACC,36,36,1248,26.3,0.628,0.599,0.0,0.688,605.0,9.7,25.1,17.4,11.5,1.7,4.0,17.4,24.5,4.3,2.6,6.9,0.22,5.9,3.6,9.5,4,2013-14,C,6.15,248,241,2115,2146,2743,238.2,2108,0,0
Solomon Hill,2012-13,Arizona,Pac-12,35,35,1154,20.1,0.579,0.541,0.423,0.359,468.0,6.6,13.9,10.2,16.8,2.1,1.8,16.0,21.4,3.3,1.8,5.1,0.176,5.6,2.7,8.3,4,2013-14,SF,7.60,229,267,1968,2007,2616,226.0,2057,0,0
Tim Hardaway Jr.,2012-13,Michigan,Big Ten,38,38,1324,17.7,0.538,0.516,0.424,0.241,505.0,0.8,16.3,8.4,13.0,1.2,1.4,12.2,23.7,2.8,1.7,4.5,0.136,3.6,1.8,5.5,3,2013-14,SG,6.05,203,235,1943,1988,2565,199.4,2007,0,0
Reggie Bullock,2012-13,UNC,ACC,35,35,1100,23.7,0.625,0.607,0.567,0.205,460.0,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,4.1,1.6,5.7,0.207,8.1,2.9,11.1,3,2013-14,SG,6.95,216,229,1975,2007,2591,199.8,2051,0,0
Andre Roberson,2012-13,Colorado,Pac-12,31,30,1036,21.9,0.524,0.515,0.211,0.356,348.0,10.6,29.4,20.0,9.4,3.9,4.4,18.7,19.9,1.4,2.9,4.3,0.166,3.3,4.8,8.1,3,2013-14,PF,7.05,222,241,1988,2007,2654,205.8,2108,0,0
Archie Goodwin,2012-13,Kentucky,SEC,33,33,1048,16.9,0.509,0.464,0.179,0.594,467.0,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.6,1.5,3.1,0.117,1.0,1.1,2.1,1,2013-14,SG,4.55,216,229,1924,1962,2591,189.0,2070,0,0
Allen Crabbe,2012-13,California,Pac-12,33,33,1195,22.3,0.568,0.528,0.393,0.297,548.0,3.3,16.0,9.8,16.2,1.9,1.9,13.5,26.6,3.3,1.8,5.1,0.17,6.0,2.4,8.4,3,2013-14,SG,4.65,210,216,1962,1988,2629,197.4,2115,0,0
Carrick Felix,2012-13,Arizona State,Pac-12,35,34,1235,21.5,0.586,0.569,0.368,0.323,481.0,7.1,20.0,13.6,9.6,2.4,3.2,13.8,21.3,3.0,2.1,5.1,0.165,3.7,2.3,6.0,3,2013-14,SF,3.30,216,241,1949,1988,2629,202.6,2064,0,0
Isaiah Canaan,2012-13,Murray State,OVC,31,30,1131,25.2,0.576,0.525,0.509,0.371,650.0,2.0,10.0,5.9,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.9,0.207,5.8,0.0,5.8,4,2013-14,PG,5.90,210,241,1803,1829,2400,188.4,1943,0,0
Glen Rice Jr,2011-12,Georgia Tech,ACC,21,10,628,23.0,0.539,0.525,0.404,0.296,266.0,8.0,20.7,14.2,19.1,2.8,3.3,15.9,25.9,1.3,1.1,2.4,0.156,5.3,2.8,8.0,3,,SG,,0,0,0,0,0,nan,0,0,0
Ray McCallum,2012-13,Detroit,Horizon,33,33,1208,25.7,0.578,0.539,0.298,0.47,617.0,4.0,14.3,8.7,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.0,0.2,6.3,1.1,7.3,3,2013-14,PG,7.30,203,222,1835,1873,2451,191.4,1911,0,0
Tony Mitchell,2012-13,North Texas,Sun Belt,32,29,1037,20.8,0.53,0.487,0.314,0.494,395.0,8.4,23.1,15.4,5.7,1.8,8.5,16.6,22.7,1.6,1.8,3.3,0.128,1.0,1.2,2.2,2,2012-13,SG,5.70,216,254,1962,1988,2540,216.4,2083,0,0
Nate Wolters,2012-13,South Dakota State,Summit,33,33,1256,32.0,0.604,0.549,0.339,0.461,750.0,3.7,15.4,9.5,34.3,2.8,0.4,11.2,29.8,7.0,1.6,8.5,0.272,8.3,1.3,9.6,4,2013-14,PG,5.50,210,222,1918,1949,2489,196.4,1924,0,0
