player_name,season,school_name,conf_abbr,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,player_id,pos,last_uni_age,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,ratio_off,ratio_def,conf_rating,gs_pct
Tim Hardaway Jr.,2012-13,Michigan,Big Ten,1324,17.7,0.538,0.516,0.424,0.241,505.0,0.8,16.3,8.4,13.0,1.2,1.4,12.2,23.7,2.8,1.7,4.5,0.136,3.6,1.8,5.5,3,tim-hardaway-jr-1,SG,20,SG,6.05,203,235,1943,1988,2565,199.4,2007,1.05,0.92,0.580716,1.0
Reggie Bullock,2012-13,UNC,ACC,1100,23.7,0.625,0.607,0.567,0.205,460.0,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,4.1,1.6,5.7,0.207,8.1,2.9,11.1,3,reggie-bullock-2,SF,21,SG,6.95,216,229,1975,2007,2591,199.8,2051,0.78,0.8,0.559479,1.0
Andre Roberson,2012-13,Colorado,Pac-12,1036,21.9,0.524,0.515,0.211,0.356,348.0,10.6,29.4,20.0,9.4,3.9,4.4,18.7,19.9,1.4,2.9,4.3,0.166,3.3,4.8,8.1,3,andre-roberson-1,SG,21,PF,7.05,222,241,1988,2007,2654,205.8,2108,1.17,0.6,0.552034,0.97
Archie Goodwin,2012-13,Kentucky,SEC,1048,16.9,0.509,0.464,0.179,0.594,467.0,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,1.6,1.5,3.1,0.117,1.0,1.1,2.1,1,archie-goodwin-1,PG,18,SG,4.55,216,229,1924,1962,2591,189.0,2070,1.08,0.8,0.537719,1.0
Allen Crabbe,2012-13,California,Pac-12,1195,22.3,0.568,0.528,0.393,0.297,548.0,3.3,16.0,9.8,16.2,1.9,1.9,13.5,26.6,3.3,1.8,5.1,0.17,6.0,2.4,8.4,3,allen-crabbe-1,SG,20,SG,4.65,210,216,1962,1988,2629,197.4,2115,0.94,0.84,0.552034,1.0
Isaiah Canaan,2012-13,Murray State,OVC,1131,25.2,0.576,0.525,0.509,0.371,650.0,2.0,10.0,5.9,27.6,2.5,0.4,14.3,30.9,4.5,1.3,5.9,0.207,5.8,0.0,5.8,4,isaiah-canaan-1,SG,21,PG,5.9,210,241,1803,1829,2400,188.4,1943,0.8,0.84,0.482268,0.97
Ray McCallum,2012-13,Detroit,Horizon,1208,25.7,0.578,0.539,0.298,0.47,617.0,4.0,14.3,8.7,23.8,3.0,1.8,11.3,24.4,4.7,1.3,6.0,0.2,6.3,1.1,7.3,3,ray-mccallum-2,PG,21,PG,7.3,203,222,1835,1873,2451,191.4,1911,0.66,0.74,0.496183,1.0
Nate Wolters,2012-13,South Dakota State,Summit,1256,32.0,0.604,0.549,0.339,0.461,750.0,3.7,15.4,9.5,34.3,2.8,0.4,11.2,29.8,7.0,1.6,8.5,0.272,8.3,1.3,9.6,4,nate-wolters-1,PG,23,PG,5.5,210,222,1918,1949,2489,196.4,1924,0.43,0.05,0.472844,1.0
Jeff Withey,2012-13,Kansas,Big 12,1144,27.2,0.621,0.583,0.003,0.604,467.0,8.8,22.3,16.1,6.2,1.4,13.7,15.1,21.5,3.4,3.2,6.6,0.231,4.9,6.6,11.5,4,jeff-withey-1,C,22,C,8.65,229,248,2102,2146,2807,221.8,2184,0.93,0.83,0.555599,0.97
Mike Muscala,2012-13,Bucknell,Patriot,1079,35.7,0.575,0.513,0.036,0.509,624.0,11.8,31.1,21.8,18.5,1.0,7.8,9.5,31.6,5.3,3.0,8.3,0.307,8.6,3.9,12.5,4,mike-muscala-1,C,21,C,6.8,216,229,2089,2121,2743,230.2,2159,0.69,0.66,0.47666,1.0
Ryan Kelly,2012-13,Duke,ACC,664,23.5,0.586,0.535,0.392,0.401,286.0,6.9,15.4,11.2,11.0,1.4,5.4,8.4,21.4,2.4,1.1,3.5,0.21,7.2,4.0,11.1,4,ryan-kelly-3,PF,21,PF,14.75,229,254,2076,2127,2794,228.0,2121,0.78,0.93,0.559479,1.0
James Ennis,2012-13,Long Beach State,Big West,1093,25.3,0.616,0.565,0.415,0.407,517.0,6.9,17.0,11.9,14.4,3.1,4.2,18.3,24.9,3.4,1.4,4.7,0.173,5.7,1.4,7.1,2,james-ennis-1,SF,23,SF,4.5,216,222,1975,2007,2654,200.8,2121,0.86,0.95,0.469607,0.97
Lorenzo Brown,2012-13,NC State,ACC,1129,19.9,0.509,0.449,0.228,0.419,500.0,2.4,12.3,7.5,36.7,3.4,1.6,22.2,22.8,2.3,1.3,3.6,0.127,3.5,2.0,5.5,3,lorenzo-brown-1,PG,22,PG,3.95,210,216,1930,1962,2540,189.2,2007,0.97,0.82,0.559479,0.97
Andrew Wiggins,2013-14,Kansas,Big 12,1148,21.4,0.563,0.499,0.299,0.538,564.0,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,3.2,1.7,4.9,0.17,5.7,2.6,8.3,1,andrew-wiggins-1,SF,18,SF,6.6,223,239,1983,2017,2631,215.5,2111,1.04,0.61,0.575894,1.0
Jabari Parker,2013-14,Duke,ACC,1074,28.4,0.558,0.511,0.212,0.429,623.0,11.4,23.1,17.1,8.6,2.1,4.0,11.9,32.7,3.6,1.9,5.5,0.205,6.6,1.0,7.6,1,jabari-parker-1,PF,18,PF,8.2,230,245,2043,2074,2720,233.3,2174,0.96,0.74,0.55628,1.0
Joel Embiid,2013-14,Kansas,Big 12,647,28.2,0.655,0.629,0.029,0.836,307.0,12.7,27.3,20.5,11.5,2.3,11.7,21.6,23.4,1.8,1.7,3.4,0.213,5.0,6.9,11.9,1,joel-embiid-1,C,21,C,7.7,232,250,2091,2125,2791,242.7,2213,1.33,0.94,0.575894,0.71
Aaron Gordon,2013-14,Arizona,Pac-12,1187,20.4,0.503,0.516,0.118,0.471,469.0,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,3.7,4.7,8.4,1,aaron-gordon-1,SF,18,PF,5.05,222,267,2019,2051,2667,220.1,2127,1.09,0.66,0.566869,1.0
Marcus Smart,2013-14,Oklahoma State,Big 12,1014,26.9,0.552,0.486,0.425,0.648,589.0,5.1,14.9,10.2,30.1,5.0,1.9,14.0,29.2,3.1,2.5,5.6,0.22,6.5,5.5,12.0,2,marcus-smart-1,SG,19,PG,10.55,229,222,1880,1911,2515,227.2,2064,0.79,0.82,0.575894,1.0
Julius Randle,2013-14,Kentucky,SEC,1233,24.5,0.567,0.505,0.046,0.739,599.0,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,3.5,2.4,5.9,0.191,5.4,2.1,7.5,1,julius-randle-1,PF,19,PF,9.4,222,210,2026,2057,2680,249.7,2134,0.95,0.95,0.552704,1.0
Nik Stauskas,2013-14,Michigan,Big Ten,1281,22.7,0.642,0.586,0.528,0.518,594.0,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,5.0,1.1,6.2,0.193,8.4,0.9,9.3,2,nik-stauskas-1,SG,20,SG,12.05,216,216,1962,1994,2591,206.9,2026,0.67,1.5,0.575732,1.0
Noah Vonleh,2013-14,Indiana,Big Ten,794,22.2,0.604,0.56,0.153,0.62,321.0,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,1.6,2.0,3.6,0.182,2.9,3.7,6.6,1,noah-vonleh-1,PF,18,PF,7.3,248,298,2032,2070,2743,247.1,2242,0.95,0.68,0.575732,0.97
Elfrid Payton,2013-14,Louisiana,Sun Belt,1258,25.2,0.551,0.524,0.116,0.648,732.0,7.1,11.7,9.4,32.9,3.6,1.7,17.2,27.6,3.7,1.9,5.6,0.177,5.1,1.7,6.8,3,elfrid-payton-1,PG,19,PG,5.65,222,229,1892,1924,2502,185.4,2032,0.96,1.0,0.478107,0.97
Doug McDermott,2013-14,Creighton,Big East,1181,32.8,0.644,0.603,0.341,0.329,788.0,6.4,17.8,12.6,11.5,0.4,0.5,7.9,36.2,6.3,1.4,7.7,0.261,11.4,-0.5,10.9,4,doug-mcdermott-1,SF,22,SF,7.1,222,248,1988,2026,2616,218.0,2064,0.61,0.9,0.556742,1.0
Zach LaVine,2013-14,UCLA,Pac-12,904,14.6,0.545,0.524,0.444,0.236,324.0,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,1.4,1.2,2.5,0.111,1.7,1.2,2.9,1,zach-lavine-1,SG,18,PG,4.7,210,222,1943,1975,2540,180.9,2038,1.27,0.81,0.566869,0.03
T.J. Warren,2013-14,NC State,ACC,1238,31.3,0.574,0.548,0.178,0.347,775.0,10.8,12.7,11.8,8.6,3.1,1.8,9.9,35.5,4.7,1.7,6.5,0.209,9.2,1.6,10.8,2,tj-warren-1,SF,20,SF,7.95,222,229,2007,2038,2642,220.2,2089,0.79,0.89,0.55628,1.0
Adreian Payne,2013-14,Michigan State,Big Ten,870,25.1,0.607,0.565,0.294,0.39,443.0,6.8,22.9,15.2,10.2,1.0,3.8,13.1,28.9,2.7,1.7,4.3,0.2,5.5,2.0,7.5,4,adreian-payne-1,PF,22,PF,7.55,235,241,2057,2076,2769,238.5,2235,0.91,1.49,0.575732,0.9
James Young,2013-14,Kentucky,SEC,1296,16.6,0.536,0.498,0.522,0.393,527.0,3.7,11.0,7.5,10.8,1.4,0.6,12.3,23.4,3.0,1.7,4.7,0.145,4.2,1.9,6.1,1,james-young-1,SG,18,SG,5.1,229,241,1962,2000,2642,213.3,2134,0.9,1.27,0.552704,0.98
Tyler Ennis,2013-14,Syracuse,ACC,1215,21.3,0.511,0.453,0.236,0.414,480.0,2.6,9.0,5.7,32.3,3.9,0.7,11.9,21.9,3.2,2.2,5.5,0.18,4.8,3.9,8.7,1,tyler-ennis-1,PG,19,PG,6.2,210,222,1854,1892,2489,181.5,2013,0.89,0.6,0.55628,1.0
Gary Harris,2013-14,Michigan State,Big Ten,1131,22.5,0.561,0.518,0.505,0.312,542.0,4.0,10.2,7.3,16.8,3.4,1.6,10.3,26.8,3.3,2.0,5.3,0.188,6.6,3.7,10.3,2,gary-harris-1,SG,19,SG,4.55,216,241,1892,1943,2438,204.8,2000,0.98,0.64,0.575732,0.97
Rodney Hood,2013-14,Duke,ACC,1150,20.1,0.59,0.55,0.41,0.328,507.0,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,3.6,1.2,4.9,0.17,6.3,0.9,7.2,1,rodney-hood-1,SG,21,SF,7.45,216,216,2013,2045,2616,208.2,2045,0.89,1.46,0.55628,0.94
Shabazz Napier,2013-14,UConn,AAC,1404,25.5,0.591,0.517,0.433,0.48,745.0,3.4,15.0,9.7,30.8,3.2,1.0,15.8,27.5,4.9,3.1,7.9,0.226,7.5,4.5,12.0,4,shabazz-napier-1,PG,22,PG,7.35,210,216,1803,1854,2362,175.2,1911,0.76,0.79,0.487398,1.0
C.J. Wilcox,2013-14,Washington,Pac-12,1116,22.0,0.598,0.556,0.529,0.271,527.0,2.3,10.6,6.4,15.4,1.7,2.8,9.9,24.6,3.6,0.9,4.4,0.159,7.4,1.0,8.4,4,cj-wilcox-1,SG,23,SG,6.5,222,229,1918,1956,2553,201.0,2076,0.65,0.62,0.566869,0.97
Josh Huestis,2013-14,Stanford,Pac-12,1266,17.3,0.51,0.488,0.223,0.295,413.0,8.8,18.4,13.7,6.8,1.0,5.9,9.8,18.0,1.9,2.1,4.0,0.126,2.8,2.5,5.3,4,josh-huestis-1,PF,23,SG,6.4,218,234,1932,1965,2553,202.6,2056,0.87,0.86,0.566869,1.0
Kyle Anderson,2013-14,UCLA,Pac-12,1196,24.7,0.566,0.517,0.154,0.493,603.0,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,3.1,2.6,5.6,0.189,6.3,4.5,10.9,2,kyle-anderson-3,SF,20,SF,13.35,210,222,2019,2045,2731,230.1,2203,0.81,1.02,0.566869,1.0
K.J. McDaniels,2013-14,Clemson,ACC,1212,28.4,0.566,0.505,0.303,0.402,579.0,8.8,15.9,12.5,12.8,2.3,8.9,13.3,29.1,3.6,3.1,6.7,0.221,7.4,5.6,12.9,3,kj-mcdaniels-1,SF,20,SF,4.45,222,248,1943,1981,2591,195.6,2115,0.75,0.62,0.55628,0.97
Joe Harris ,2013-14,Virginia,ACC,1066,18.7,0.565,0.547,0.533,0.337,407.0,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,2.6,2.4,5.0,0.187,4.5,4.1,8.6,4,joe-harris--1,SG,22,SG,6.2,216,248,1949,1988,2540,215.0,1981,0.83,0.65,0.55628,1.0
Johnny O'Bryant,2013-14,LSU,SEC,1020,18.7,0.526,0.495,0.007,0.455,507.0,10.8,16.6,13.7,11.5,1.0,2.9,17.8,28.5,1.2,1.5,2.7,0.106,1.1,0.2,1.3,3,johnny-obryant-1,PF,20,PF,10.75,235,241,2013,2045,2667,256.8,2191,1.28,0.46,0.552704,1.0
Spencer Dinwiddie,2013-14,Colorado,Pac-12,529,24.8,0.667,0.565,0.481,0.908,248.0,1.8,9.6,5.8,26.3,2.9,0.8,13.8,21.0,2.2,0.8,3.1,0.231,6.2,3.9,10.1,3,spencer-dinwiddie-1,PG,20,PG,5.35,210,229,1943,1981,2616,204.9,2038,0.8,1.06,0.566869,1.0
Jerami Grant,2013-14,Syracuse,ACC,1005,21.6,0.547,0.496,0.019,0.664,379.0,9.1,17.2,13.0,9.4,1.7,2.5,9.5,21.1,2.8,1.9,4.6,0.185,4.0,2.4,6.4,2,jerami-grant-1,PF,19,SF,3.75,235,235,1994,2026,2718,214.0,2203,0.85,1.15,0.55628,0.62
Glenn Robinson III,2013-14,Michigan,Big Ten,1194,18.9,0.566,0.532,0.29,0.308,450.0,6.0,11.5,8.8,7.6,1.9,1.0,9.7,22.3,2.8,1.4,4.2,0.142,4.2,1.2,5.3,2,glenn-robinson-2,SF,20,SF,5.05,229,241,1968,2000,2553,211.4,2083,0.92,1.29,0.575732,1.0
Markel Brown,2013-14,Oklahoma State,Big 12,1201,22.0,0.591,0.541,0.361,0.483,562.0,3.5,12.9,8.4,16.9,1.6,3.1,10.0,23.1,3.7,2.0,5.7,0.191,6.3,2.7,8.9,4,markel-brown-1,SG,23,SG,4.2,210,248,1892,1918,2540,184.4,2051,0.58,0.29,0.575894,1.0
Dwight Powell,2013-14,Stanford,Pac-12,1167,19.7,0.527,0.475,0.103,0.557,537.0,7.3,17.3,12.5,20.4,2.4,2.8,17.8,26.0,1.8,2.0,3.8,0.131,2.7,3.0,5.7,4,dwight-powell-1,C,22,PF,6.2,229,235,2070,2108,2667,234.4,2146,1.21,1.25,0.566869,1.0
Jordan Clarkson,2013-14,Missouri,SEC,1228,20.2,0.547,0.482,0.244,0.418,605.0,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,3.2,1.2,4.4,0.142,3.8,0.5,4.3,1,jordan-clarkson-1,SG,21,PG,4.3,210,229,1911,1956,2489,186.3,2032,0.93,1.1,0.552704,1.0
Jordan McRae,2013-14,Tennessee,SEC,1190,24.0,0.565,0.513,0.439,0.414,623.0,2.6,10.0,6.3,17.6,1.3,3.3,11.2,30.4,4.3,2.0,6.2,0.21,8.1,2.5,10.5,4,jordan-mcrae-1,SG,24,SG,5.2,222,216,1924,1962,2642,179.4,2146,0.78,0.93,0.552704,1.0
Karl-Anthony Towns,2014-15,Kentucky,SEC,822,31.4,0.627,0.57,0.031,0.523,391.0,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,3.5,2.9,6.4,0.311,6.6,7.6,14.3,1,karl-anthony-towns-1,C,19,C,7.7,232,250,2091,2125,2791,242.7,2213,1.24,0.84,0.550085,1.0
D'Angelo Russell,2014-15,Ohio State,Big Ten,1188,26.6,0.573,0.541,0.449,0.303,671.0,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,4.4,2.4,6.8,0.229,8.6,3.3,11.9,1,dangelo-russell-1,PG,18,PG,8.3,222,248,1911,1956,2591,193.4,2076,0.92,0.6,0.562916,0.97
Jahlil Okafor,2014-15,Duke,ACC,1143,30.7,0.641,0.664,0.0,0.462,609.0,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,4.5,2.2,6.7,0.235,7.7,2.7,10.4,1,jahlil-okafor-1,C,19,C,7.7,232,250,2091,2125,2791,242.7,2213,0.74,0.77,0.568106,1.0
Willie Cauley-Stein,2014-15,Kentucky,SEC,1012,23.8,0.588,0.572,0.0,0.542,344.0,11.1,17.3,14.5,7.4,2.9,7.1,13.9,17.8,2.6,3.4,6.0,0.239,5.4,7.1,12.6,3,willie-cauley-stein-1,C,21,C,6.3,241,229,2115,2146,2819,242.4,2210,1.09,0.78,0.550085,0.97
Stanley Johnson,2014-15,Arizona,Pac-12,1081,22.5,0.551,0.501,0.297,0.456,509.0,8.9,19.1,14.1,11.6,3.2,1.6,14.7,26.6,2.8,2.9,5.7,0.212,5.0,4.4,9.4,1,stanley-johnson-1,SF,18,SF,7.5,229,229,1956,1994,2591,241.8,2121,0.78,0.9,0.556551,0.97
Frank Kaminsky,2014-15,Wisconsin,Big Ten,1311,34.4,0.628,0.59,0.207,0.41,691.0,6.0,25.7,16.1,18.4,1.7,4.5,9.8,28.6,6.9,2.9,9.8,0.299,11.2,5.0,16.2,4,frank-kaminsky-1,PF,21,C,9.4,216,241,2127,2153,2781,231.2,2108,0.73,0.51,0.562916,1.0
Justise Winslow,2014-15,Duke,ACC,1135,22.3,0.572,0.551,0.309,0.438,473.0,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,3.1,2.5,5.5,0.196,5.3,4.6,10.0,1,justise-winslow-1,PF,18,SF,5.3,216,235,1943,1994,2654,221.8,2089,0.86,0.93,0.568106,1.0
Myles Turner,2014-15,Texas,Big 12,755,25.5,0.556,0.488,0.241,0.436,310.0,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,1.9,2.1,4.0,0.213,3.4,6.0,9.3,1,myles-turner-1,C,18,C,9.3,235,235,2076,2121,2845,238.6,2235,1.11,0.86,0.579399,0.21
Trey Lyles,2014-15,Kentucky,SEC,828,19.8,0.543,0.496,0.121,0.425,308.0,9.9,16.1,13.3,9.2,1.4,2.1,12.4,20.8,2.1,2.3,4.4,0.213,3.9,4.1,8.0,1,trey-lyles-1,PF,19,PF,12.1,235,260,2057,2089,2743,241.2,2172,1.22,0.94,0.550085,0.58
Devin Booker,2014-15,Kentucky,SEC,816,19.4,0.6,0.571,0.491,0.223,324.0,2.6,7.8,5.4,10.9,1.3,0.3,10.4,22.8,2.7,1.8,4.5,0.219,6.1,3.3,9.4,1,devin-booker-2,SG,18,SG,8.3,222,229,1943,1975,2604,205.8,2038,1.16,0.83,0.550085,0.0
Cameron Payne,2014-15,Murray State,OVC,1127,30.1,0.573,0.534,0.415,0.315,716.0,2.2,10.6,6.6,40.0,3.6,1.6,12.4,31.5,5.5,1.8,7.3,0.258,8.6,1.3,9.9,2,cameron-payne-1,PG,20,PG,6.3,216,210,1848,1867,2477,182.8,2013,0.73,0.86,0.46755,1.0
Kelly Oubre,2014-15,Kansas,Big 12,756,21.1,0.555,0.512,0.383,0.444,303.0,6.4,19.2,13.2,8.1,3.3,1.8,12.5,23.1,1.7,1.7,3.4,0.18,4.7,4.1,8.8,1,kelly-oubre-1,SF,19,SF,5.7,229,222,1975,2000,2604,202.8,2191,1.03,0.9,0.579399,0.75
Terry Rozier,2014-15,Louisville,ACC,1260,22.1,0.509,0.457,0.301,0.338,591.0,3.8,13.9,8.8,19.7,3.5,0.5,11.6,27.8,3.0,3.0,6.0,0.191,4.8,4.6,9.4,2,terry-rozier-1,PG,20,PG,5.6,210,216,1842,1886,2502,190.2,2038,1.09,1.01,0.568106,0.97
Rashad Vaughn,2014-15,UNLV,MWC,742,20.2,0.547,0.521,0.43,0.299,352.0,2.3,13.7,8.4,11.8,1.5,1.1,11.8,30.8,1.4,1.1,2.5,0.132,4.5,0.1,4.5,1,rashad-vaughn-1,SG,18,SG,6.2,203,216,1924,1956,2565,198.6,2007,0.93,0.91,0.507313,1.0
Sam Dekker,2014-15,Wisconsin,Big Ten,1239,25.5,0.605,0.586,0.372,0.278,519.0,8.4,14.8,11.7,8.6,1.1,1.5,7.3,23.2,5.1,1.9,7.0,0.225,8.5,1.8,10.4,3,sam-dekker-1,PF,20,SF,7.5,216,235,2026,2057,2692,218.6,2121,0.7,0.97,0.562916,1.0
Jerian Grant,2014-15,Notre Dame,ACC,1408,25.5,0.592,0.536,0.37,0.511,706.0,1.3,8.3,5.1,33.6,2.8,1.4,13.4,24.2,6.1,1.6,7.7,0.218,7.3,1.7,9.0,4,jerian-grant-1,PG,22,PG,5.6,210,216,1911,1937,2540,198.0,2019,0.82,0.93,0.568106,1.0
Delon Wright,2014-15,Utah,Pac-12,1165,29.2,0.619,0.549,0.225,0.565,558.0,4.0,13.7,9.3,33.0,4.0,3.2,14.2,22.8,5.3,3.1,8.4,0.289,8.7,6.9,15.5,2,delon-wright-1,PG,22,PG,6.6,203,216,1937,1968,2578,181.4,2019,0.81,0.83,0.556551,1.0
Justin Anderson,2014-15,Virginia,ACC,724,23.8,0.61,0.572,0.471,0.371,283.0,3.1,14.4,9.0,14.0,1.6,2.5,10.7,23.3,2.5,1.8,4.4,0.241,7.9,4.8,12.7,3,justin-anderson-1,SF,21,SF,5.0,216,241,1962,1988,2565,230.6,2127,0.94,0.8,0.568106,0.85
